address;netmask;comment;EA-Level1;EA-Level2;EA-Level3;EA-Site,,,,,,,,,,,,,,
10.0.0.0;255.255.0.0;RITM0367591 - Global Baby Care Area-I Platform - OT network - not routed in BGP;P&G;EMEA;EUSKIRCHEN - EUSKIRCHEN PLANT - 4499;4499,,,,,,,,,,,,,,
10.0.0.0;8;;RFC1918  CLASS A 10 Network;;;,,,,,,,,,,,,,,
10.1.0.0;255.255.0.0;PG Network LAB Cloud testing;P&G;NA;Cincinnati GO - Terrace_Network_LAB - BT967;BT967,,,,,,,,,,,,,,
10.2.0.0;255.255.0.0;RITM0367591 - Global Baby Care Area-I Platform - OT network - not routed in BGP;P&G;EMEA;EUSKIRCHEN - EUSKIRCHEN PLANT - 4499;4499,,,,,,,,,,,,,,
10.3.0.0;255.255.192.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.3.64.0;255.255.192.0;;P&G;EMEA;KRONBERG - KRONBERG PLANT - 7855;7855,,,,,,,,,,,,,,
10.3.128.0;255.255.128.0;;P&G;P&G;P&G;,,,,,,,,,,,,,,
10.4.0.0;255.255.0.0;Subnets for Site -to-Site VPN in EMEA;P&G;EMEA;STROMBEEK-BEVER - BRUSSELS DATA CENTER - 4746;4746,,,,,,,,,,,,,,
10.5.0.0;255.255.0.0;WWT Lab;P&G;WWT;WWT;,,,,,,,,,,,,,,
10.6.0.0;255.255.255.192;Vlan 999 Switch_Managment;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.64;255.255.255.192;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.128;255.255.255.192;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.192;255.255.255.248;Vlan 861 CUBE_router_1;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.200;255.255.255.248;Vlan 862 CUBE_router_2;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.208;255.255.255.252;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.212;255.255.255.252;WAN MPLS Transit 1;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.216;255.255.255.252;WAN MPLS Transit 2;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.220;255.255.255.252;vEdge Transit 1;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.224;255.255.255.252;Core Transit 1;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.228;255.255.255.252;Core Transit 2;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.232;255.255.255.248;WOS 1;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.240;255.255.255.248;WOS 2;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.0.248;255.255.255.248;Loopbacks;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.1.0;255.255.255.128;RITM0512506;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.1.128;255.255.255.192;Vlan 55 Innovation_AV;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.1.192;255.255.255.224;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.1.224;255.255.255.240;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.1.240;255.255.255.248;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.1.248;255.255.255.248;Vlan 102 WLAN-WLC_Management;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.2.0;255.255.255.128;RITM0512506;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.2.128;255.255.255.192;Security;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.2.192;255.255.255.224;Vlan 58 OneKey;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.2.224;255.255.255.240;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.2.240;255.255.255.248;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.2.248;255.255.255.248;Vlan 62 VCR;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.3.0;255.255.255.128;Vlan 59 Security Cameras;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.3.128;255.255.255.128;Vlan 57 BMS (Building Management Systems);P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.0;255.255.255.192;Servers Vlan 200 Servers;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.64;255.255.255.224;Vlan 20 Printers;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.96;255.255.255.224;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.128;255.255.255.192;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.192;255.255.255.240;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
10.6.4.208;255.255.255.248;;P&G;LA;MEXICO CITY - MEXICO CITY GENERAL OFFICE - 4397;4397,,,,,,,,,,,,,,
